                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3026,                 1.2013,                  1.232,                0.64386,                0.69299,                0.70113,                0.43162,                 1.2537,                 1.1908,                 1.2907,             0.00051777,             0.00051777,             0.00051777
                     36,                 1.2704,                 1.1799,                 1.2139,                0.72001,                0.69342,                0.75998,                0.46057,                 1.2506,                 1.0932,                 1.2581,             0.00051015,             0.00051015,             0.00051015
                     37,                 1.2921,                 1.1923,                 1.2136,                0.67974,                0.71482,                0.74564,                0.45085,                  1.265,                 1.1778,                  1.259,             0.00050254,             0.00050254,             0.00050254
                     38,                 1.2668,                 1.1321,                 1.1993,                0.63722,                0.72528,                0.73201,                0.45236,                 1.2474,                 1.1249,                 1.2754,             0.00049493,             0.00049493,             0.00049493
                     39,                 1.2704,                 1.1427,                 1.2017,                0.74453,                0.72357,                0.76866,                0.47092,                 1.2771,                 1.0751,                 1.2622,             0.00048732,             0.00048732,             0.00048732
                     40,                 1.2937,                 1.1419,                 1.2113,                0.64589,                0.72568,                0.74483,                0.46354,                 1.2558,                 1.0905,                 1.2774,              0.0004797,              0.0004797,              0.0004797
                     41,                 1.2516,                 1.1034,                 1.1944,                0.73364,                0.67102,                0.75286,                0.45734,                 1.3047,                 1.1197,                 1.2542,             0.00047209,             0.00047209,             0.00047209
                     42,                 1.2678,                 1.1063,                 1.1973,                0.68508,                0.76827,                0.76056,                0.45626,                 1.3179,                 1.1056,                 1.2631,             0.00046448,             0.00046448,             0.00046448
                     43,                 1.2285,                 1.0803,                 1.1795,                0.70341,                0.75046,                 0.7815,                0.48401,                 1.2314,                 1.0558,                  1.261,             0.00045686,             0.00045686,             0.00045686
                     44,                 1.2415,                 1.0757,                  1.172,                0.71982,                0.75134,                0.78355,                0.47811,                 1.2568,                 1.0522,                 1.2578,             0.00044925,             0.00044925,             0.00044925
                     45,                 1.2507,                 1.0801,                 1.1809,                0.72807,                 0.7386,                0.79414,                0.49118,                 1.2358,                 1.0127,                 1.2584,             0.00044164,             0.00044164,             0.00044164
                     46,                 1.2475,                 1.0668,                 1.1748,                0.69646,                0.76239,                0.79513,                0.48721,                 1.2417,                 1.0202,                 1.2372,             0.00043402,             0.00043402,             0.00043402
                     47,                 1.2377,                 1.0548,                 1.1778,                0.71257,                 0.7588,                 0.7805,                0.47758,                 1.2772,                 1.0672,                 1.2543,             0.00042641,             0.00042641,             0.00042641
                     48,                 1.2226,                 1.0314,                  1.174,                0.69894,                0.76161,                0.77641,                0.48515,                 1.2562,                 1.0425,                 1.2496,              0.0004188,              0.0004188,              0.0004188
                     49,                 1.1977,                 1.0202,                 1.1606,                0.75484,                0.75507,                0.81195,                0.50937,                 1.2318,                 1.0042,                 1.2384,             0.00041118,             0.00041118,             0.00041118
                     50,                 1.1979,                0.99309,                 1.1463,                0.78762,                0.76432,                0.82083,                0.51339,                 1.2198,                  1.005,                 1.2209,             0.00040357,             0.00040357,             0.00040357
                     51,                  1.236,                 1.0037,                 1.1688,                 0.7622,                0.76524,                0.80251,                0.48761,                 1.2785,                 1.0462,                   1.24,             0.00039596,             0.00039596,             0.00039596
                     52,                 1.2013,                0.98154,                 1.1483,                0.80024,                0.74919,                0.83516,                0.52233,                 1.2259,                0.95568,                 1.2364,             0.00038835,             0.00038835,             0.00038835
                     53,                 1.2028,                 1.0083,                 1.1513,                0.73218,                 0.7631,                 0.8112,                 0.4982,                 1.2628,                0.96974,                 1.2682,             0.00038073,             0.00038073,             0.00038073
                     54,                 1.1937,                0.95988,                 1.1491,                0.73987,                0.76579,                0.82966,                0.51842,                 1.2117,                0.97819,                 1.2231,             0.00037312,             0.00037312,             0.00037312
                     55,                 1.1775,                0.94384,                 1.1252,                0.78749,                0.75855,                0.82402,                0.51198,                 1.2573,                 0.9614,                 1.2344,             0.00036551,             0.00036551,             0.00036551
                     56,                 1.1825,                0.95687,                 1.1393,                0.78632,                 0.7474,                0.80035,                0.49129,                 1.2751,                 1.0275,                 1.2382,             0.00035789,             0.00035789,             0.00035789
                     57,                 1.1933,                0.96529,                  1.153,                0.75573,                0.76596,                0.81064,                0.50075,                 1.2591,                0.99429,                  1.245,             0.00035028,             0.00035028,             0.00035028
                     58,                 1.1691,                 0.9412,                 1.1407,                  0.814,                0.78435,                0.85961,                0.52838,                 1.2675,                0.92817,                 1.2309,             0.00034267,             0.00034267,             0.00034267
                     59,                 1.2038,                0.96784,                 1.1487,                0.77773,                0.74824,                0.81989,                0.50622,                 1.2569,                 0.9654,                  1.248,             0.00033505,             0.00033505,             0.00033505
                     60,                 1.1878,                0.93386,                 1.1356,                0.78633,                0.77308,                0.84317,                0.51736,                 1.2716,                0.93089,                 1.2345,             0.00032744,             0.00032744,             0.00032744
                     61,                 1.1727,                0.92911,                 1.1223,                0.74676,                0.78651,                0.81617,                 0.5093,                 1.2348,                 1.0123,                 1.2196,             0.00031983,             0.00031983,             0.00031983
                     62,                 1.1388,                 0.9054,                 1.1246,                0.76221,                 0.7879,                0.82833,                0.51827,                 1.2336,                0.95476,                 1.2375,             0.00031221,             0.00031221,             0.00031221
                     63,                 1.1851,                0.92335,                 1.1302,                0.75638,                0.79155,                0.83767,                0.50711,                 1.3056,                0.95289,                 1.2412,              0.0003046,              0.0003046,              0.0003046
                     64,                 1.1584,                0.89305,                  1.123,                0.79722,                0.77628,                0.85763,                0.52652,                 1.2532,                0.92791,                 1.2276,             0.00029699,             0.00029699,             0.00029699
                     65,                  1.144,                0.88028,                 1.1171,                0.76742,                0.81252,                0.84236,                 0.5256,                 1.2195,                0.91657,                  1.227,             0.00028937,             0.00028937,             0.00028937
                     66,                  1.135,                0.88243,                  1.113,                0.77433,                0.80022,                0.84951,                0.52553,                 1.2312,                0.89853,                 1.2201,             0.00028176,             0.00028176,             0.00028176
                     67,                 1.1267,                0.86004,                 1.1138,                 0.8324,                 0.7647,                0.85319,                0.53416,                  1.217,                0.90416,                 1.2217,             0.00027415,             0.00027415,             0.00027415
                     68,                 1.1333,                0.88978,                 1.1086,                0.78418,                0.81018,                0.84591,                0.52884,                 1.2052,                0.89728,                 1.2341,             0.00026654,             0.00026654,             0.00026654
                     69,                 1.1278,                0.86513,                 1.1105,                0.79184,                 0.8012,                0.84521,                0.53404,                 1.2304,                0.90925,                 1.2123,             0.00025892,             0.00025892,             0.00025892
                     70,                 1.1369,                0.86125,                 1.1022,                0.84354,                0.78912,                0.87216,                0.54823,                  1.219,                 0.8602,                 1.2087,             0.00025131,             0.00025131,             0.00025131
                     71,                  1.132,                0.84798,                 1.1034,                0.78349,                0.79695,                0.85395,                0.53612,                 1.2372,                0.87581,                 1.2229,              0.0002437,              0.0002437,              0.0002437
                     72,                 1.1136,                0.83758,                 1.1014,                0.79723,                 0.7876,                0.85796,                0.54096,                 1.2175,                0.87178,                 1.2234,             0.00023608,             0.00023608,             0.00023608
                     73,                 1.1116,                0.83722,                 1.1045,                0.79534,                0.78556,                0.85458,                0.52841,                 1.2565,                0.90298,                 1.2288,             0.00022847,             0.00022847,             0.00022847
                     74,                 1.1004,                0.82094,                 1.0918,                0.80448,                0.83202,                0.86426,                0.54492,                 1.2204,                0.85459,                 1.2252,             0.00022086,             0.00022086,             0.00022086
                     75,                 1.1181,                0.83764,                  1.093,                0.82943,                0.78618,                0.85225,                0.53342,                 1.2175,                0.87259,                 1.2173,             0.00021324,             0.00021324,             0.00021324
                     76,                 1.1006,                0.83021,                 1.0905,                0.82237,                 0.8111,                0.86367,                0.54822,                 1.2241,                0.86788,                 1.2159,             0.00020563,             0.00020563,             0.00020563
                     77,                 1.1011,                0.81666,                  1.088,                0.80673,                0.81056,                0.85995,                0.54526,                 1.2262,                0.88118,                 1.2102,             0.00019802,             0.00019802,             0.00019802
                     78,                 1.1108,                0.81396,                 1.0964,                0.83625,                0.79762,                0.86474,                0.54537,                 1.2066,                0.86057,                 1.2081,              0.0001904,              0.0001904,              0.0001904
                     79,                 1.1111,                 0.8296,                  1.094,                0.83081,                0.81167,                0.87482,                0.54509,                 1.2311,                0.86113,                 1.2142,             0.00018279,             0.00018279,             0.00018279
                     80,                 1.0957,                0.81636,                 1.0786,                0.86122,                 0.7852,                0.86443,                0.53688,                 1.2661,                0.86432,                 1.2234,             0.00017518,             0.00017518,             0.00017518
                     81,                  1.096,                0.79424,                 1.0877,                0.82228,                 0.8138,                0.87101,                0.54137,                 1.2371,                 0.8553,                 1.2139,             0.00016757,             0.00016757,             0.00016757
